product_id,product,mpg,unit_type,product_pack_size,base_pack_size,cases_per_drp,conversion_note
6320923704,TDL DARK ROAST CAN 6/825 GR,R&G Large Can 6/930g,CASE,R&G Large Can 6/930g,R&G Large Can 6/930g,,Product-level forecast total cases
6320923706,TDL COFFEE FINE GRIND 1/2 DRP 126/875 GR,R&G Large Can 6/930g,DRP,R&G Large Can 126/930g,R&G Large Can 6/930g,21.0,Display pack 126/930G converted to regular case pack 6/930G
6320923707,TDL COFFEE FINE/DARK 1/2 DRP 126/1 EA,R&G Large Can 6/930g,DRP,R&G Large Can 126/930g,R&G Large Can 6/930g,21.0,Display pack 126/930G converted to regular case pack 6/930G
TDRGLC-126/930,R&G LARGE CAN 126/930GR,R&G Large Can 6/930g,DRP,R&G Large Can 126/930g,R&G Large Can 6/930g,21.0,Display pack 126/930G converted to regular case pack 6/930G
TDRGLC-6/930,R&G LARGE CAN 6/930GR,R&G Large Can 6/930g,CASE,R&G Large Can 6/930g,R&G Large Can 6/930g,,Product-level forecast total cases
6320920262,TDL SPECIAL EDITION  BAG 6/283 GR,R&G Small Bag 6/283g,CASE,R&G Small Bag 6/283g,R&G Small Bag 6/283g,,Product-level forecast total cases
TDRGSB-6/283,R&G SMALL BAG 6/283GR,R&G Small Bag 6/283g,CASE,R&G Small Bag 6/283g,R&G Small Bag 6/283g,,Product-level forecast total cases
6320908231,TDL ORIGINAL 6/300 GR,R&G Small Bag 6/300g,CASE,R&G Small Bag 6/300g,R&G Small Bag 6/300g,,Product-level forecast total cases
6320909608,*TDL ORGINAL/DARK DISPLAY 48/300 GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 48/300g,R&G Small Bag 6/300g,8.0,Display pack 48/300G converted to regular case pack 6/300G
6320912138,TDL ORIGINAL COFFEE DISPLAY 48/300 GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 48/300g,R&G Small Bag 6/300g,8.0,Display pack 48/300G converted to regular case pack 6/300G
6320912139,TDL ORG/DR COFFEE DISPLAY 48/300 GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 48/300g,R&G Small Bag 6/300g,8.0,Display pack 48/300G converted to regular case pack 6/300G
6320912437,TDL ORG/DR GROUND PDQ 24/300 GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 24/300g,R&G Small Bag 6/300g,4.0,Display pack 24/300G converted to regular case pack 6/300G
6320920675,TDL ORG/WINTER COFFEE DISPLAY 48/300 GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 48/300g,R&G Small Bag 6/300g,8.0,Display pack 48/300G converted to regular case pack 6/300G
TDRGSB-220/300,R&G SMALL BAG 220/300GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 220/300g,R&G Small Bag 6/300g,36.666667,Display pack 220/300G converted to regular case pack 6/300G
TDRGSB-48/300,R&G SMALL BAG 48/300GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 48/300g,R&G Small Bag 6/300g,8.0,Display pack 48/300G converted to regular case pack 6/300G
TDRGSB-6/300,R&G SMALL BAG 6/300GR,R&G Small Bag 6/300g,CASE,R&G Small Bag 6/300g,R&G Small Bag 6/300g,,Product-level forecast total cases
6320911763,TDL COFFEE DECAF CAN 6/640 GR,R&G Small Can 6/640g,CASE,R&G Small Can 6/640g,R&G Small Can 6/640g,,Product-level forecast total cases
6320911764,TDL COFFEE COLOMBIAN CAN 6/640 GR,R&G Small Can 6/640g,CASE,R&G Small Can 6/640g,R&G Small Can 6/640g,,Product-level forecast total cases
6320911764,6320911764,R&G Small Can 6/640g,CASE,R&G Small Can 6/640g,R&G Small Can 6/640g,,Product-level forecast total cases
TDRGSC-6/640,R&G SMALL CAN 6/640GR,R&G Small Can 6/640g,CASE,R&G Small Can 6/640g,R&G Small Can 6/640g,,Product-level forecast total cases
TDSSKC-1/30,SS KCOMP 1/30CT,SS KComp 1/30ct,CASE,SS KComp 1/30ct,SS KComp 1/30ct,,Product-level forecast total cases
TDSSKC-1/48,SS KCOMP 1/48CT,SS KComp 1/48ct,CASE,SS KComp 1/48ct,SS KComp 1/48ct,,Product-level forecast total cases
6320911511,TDL ORIGINAL KCUP SS 1/80 CT,SS KComp 1/80ct,CASE,SS KComp 1/80ct,SS KComp 1/80ct,,Product-level forecast total cases
6320911512,TDL DECAF KCUP SS 1/80 CT,SS KComp 1/80ct,CASE,SS KComp 1/80ct,SS KComp 1/80ct,,Product-level forecast total cases
6320912801,TDL DARK ROAST KCUP SS 1/80 CT,SS KComp 1/80ct,CASE,SS KComp 1/80ct,SS KComp 1/80ct,,Product-level forecast total cases
6320924954,TDL COLOMBIAN KCUP SS 1/80 CT,SS KComp 1/80ct,CASE,SS KComp 1/80ct,SS KComp 1/80ct,,Product-level forecast total cases
TDSSKC-1/80,SS KCOMP 1/80CT,SS KComp 1/80ct,CASE,SS KComp 1/80ct,SS KComp 1/80ct,,Product-level forecast total cases
6320911273,TDL ORIGINAL KCUP SS 4/30 CT,SS KComp 4/30ct,CASE,SS KComp 4/30ct,SS KComp 4/30ct,,Product-level forecast total cases
6320911274,TDL VARIETY KCUP SS 4/30 CT,SS KComp 4/30ct,CASE,SS KComp 4/30ct,SS KComp 4/30ct,,Product-level forecast total cases
6320912129,TDL ORIGINAL KCUP SS 1/2 DRP 145/30 CT,SS KComp 4/30ct,DRP,SS KComp 145/30ct,SS KComp 4/30ct,36.25,Display pack 145/30CT converted to regular case pack 4/30CT
6320912130,TDL ORG/DR KCUP SS 1/2 DRP 145/30 CT,SS KComp 4/30ct,DRP,SS KComp 145/30ct,SS KComp 4/30ct,36.25,Display pack 145/30CT converted to regular case pack 4/30CT
6320912131,TDL ORG/DR/COL KCUP SS 1/2 DRP 145/30 CT,SS KComp 4/30ct,DRP,SS KComp 145/30ct,SS KComp 4/30ct,36.25,Display pack 145/30CT converted to regular case pack 4/30CT
6320912574,TDL KCUP ORANGE PEKOE TEA 4/30 CT,SS KComp 4/30ct,CASE,SS KComp 4/30ct,SS KComp 4/30ct,,Product-level forecast total cases
6320914562,TDL KCUP FRENCH VANILLA 4/30 CT,SS KComp 4/30ct,CASE,SS KComp 4/30ct,SS KComp 4/30ct,,Product-level forecast total cases
6320918750,TDL ORG KCUP DISPLAY 16/30 CT,SS KComp 4/30ct,DRP,SS KComp 16/30ct,SS KComp 4/30ct,4.0,Display pack 16/30CT converted to regular case pack 4/30CT
6320918750,6320918750,SS KComp 4/30ct,DRP,SS KComp 16/30ct,SS KComp 4/30ct,4.0,Display pack 16/30CT converted to regular case pack 4/30CT
TDSSKC-145/30,SS KCOMP 145/30CT,SS KComp 4/30ct,DRP,SS KComp 145/30ct,SS KComp 4/30ct,36.25,Display pack 145/30CT converted to regular case pack 4/30CT
TDSSKC-16/30,SS KCOMP 16/30CT,SS KComp 4/30ct,DRP,SS KComp 16/30ct,SS KComp 4/30ct,4.0,Display pack 16/30CT converted to regular case pack 4/30CT
TDSSKC-4/30,SS KCOMP 4/30CT,SS KComp 4/30ct,CASE,SS KComp 4/30ct,SS KComp 4/30ct,,Product-level forecast total cases
6320914723,TDL KCUP ORIGINAL SS 4/48 CT,SS KComp 4/48ct,CASE,SS KComp 4/48ct,SS KComp 4/48ct,,Product-level forecast total cases
6320914724,TDL KCUP DARK ROAST SS 4/48 CT,SS KComp 4/48ct,CASE,SS KComp 4/48ct,SS KComp 4/48ct,,Product-level forecast total cases
6320918670,TDL KCUP DECAF SS 4/48 CT,SS KComp 4/48ct,CASE,SS KComp 4/48ct,SS KComp 4/48ct,,Product-level forecast total cases
TDSSKC-4/48,SS KCOMP 4/48CT,SS KComp 4/48ct,CASE,SS KComp 4/48ct,SS KComp 4/48ct,,Product-level forecast total cases
6320911272,TDL KCUP CAPPUCCNO FRNCH VAN SS 6/10CT,SS KComp 6/10ct,CASE,SS KComp 6/10ct,SS KComp 6/10ct,,Product-level forecast total cases
6320920261,TDL KCUP WINTER BLEND SS 6/10 CT,SS KComp 6/10ct,CASE,SS KComp 6/10ct,SS KComp 6/10ct,,Product-level forecast total cases
6320920678,TDL WINTER/HC/FVC KCUP SS PDQ 24/10 CT,SS KComp 6/10ct,DRP,SS KComp 24/10ct,SS KComp 6/10ct,4.0,Display pack 24/10CT converted to regular case pack 6/10CT
6320923233,TDL KCUP BOI MEDIUM SS 6/10 CT,SS KComp 6/10ct,CASE,SS KComp 6/10ct,SS KComp 6/10ct,,Product-level forecast total cases
6320923234,TDL KCUP BOI VANILLA SS 6/10 CT,SS KComp 6/10ct,CASE,SS KComp 6/10ct,SS KComp 6/10ct,,Product-level forecast total cases
TDSSKC-48/10,SS KCOMP 48/10CT,SS KComp 6/10ct,DRP,SS KComp 48/10ct,SS KComp 6/10ct,8.0,Display pack 48/10CT converted to regular case pack 6/10CT
TDSSKC-6/10,SS KCOMP 6/10CT,SS KComp 6/10ct,CASE,SS KComp 6/10ct,SS KComp 6/10ct,,Product-level forecast total cases
6320911393,TDL KCUP TEA SS 6/12 CT,SS KComp 6/12ct,CASE,SS KComp 6/12ct,SS KComp 6/12ct,,Product-level forecast total cases
6320911839,TDL KCUP ORIGINAL SS 6/12 CT,SS KComp 6/12ct,CASE,SS KComp 6/12ct,SS KComp 6/12ct,,Product-level forecast total cases
6320911850,TDL KCUP DECAF SS 6/12 CT,SS KComp 6/12ct,CASE,SS KComp 6/12ct,SS KComp 6/12ct,,Product-level forecast total cases
6320911851,TDL KCUP DARK ROAST SS 6/12 CT,SS KComp 6/12ct,CASE,SS KComp 6/12ct,SS KComp 6/12ct,,Product-level forecast total cases
6320911856,TDL KCUP HAZELNUT SS 6/12 CT,SS KComp 6/12ct,CASE,SS KComp 6/12ct,SS KComp 6/12ct,,Product-level forecast total cases
6320912132,TDL ORIGINAL KCUP DISPLAY 48/12 CT,SS KComp 6/12ct,DRP,SS KComp 48/12ct,SS KComp 6/12ct,8.0,Display pack 48/12CT converted to regular case pack 6/12CT
6320912133,TDL ORG/DR KCUP DISPLAY 48/12 CT,SS KComp 6/12ct,DRP,SS KComp 48/12ct,SS KComp 6/12ct,8.0,Display pack 48/12CT converted to regular case pack 6/12CT
6320921219,TDL KCUP CARAMEL TOFFEE SS 6/12 CT,SS KComp 6/12ct,CASE,SS KComp 6/12ct,SS KComp 6/12ct,,Product-level forecast total cases
6320923343,TDL KCUP PUMPKIN SPICE SS 6/12 CT,SS KComp 6/12ct,CASE,SS KComp 6/12ct,SS KComp 6/12ct,,Product-level forecast total cases
6320923397,*TDL PKS/CMT/ORG KCUP DISPLAY 48/12CT,SS KComp 6/12ct,DRP,SS KComp 48/12ct,SS KComp 6/12ct,8.0,Display pack 48/12CT converted to regular case pack 6/12CT
6320923957,*TDL KCUP APPLE FRITTER SS 6/12 CT,SS KComp 6/12ct,CASE,SS KComp 6/12ct,SS KComp 6/12ct,,Product-level forecast total cases
6320923958,TDL AFR/DR/ORG SS 1/2 DRP 240/12CT,SS KComp 6/12ct,DRP,SS KComp 240/1ea,SS KComp 6/12ct,40.0,Display pack 240/12CT converted to regular case pack 6/12CT
6320923959,*TDL AFR/ORG KCUP DISPLAY 48/12CT,SS KComp 6/12ct,DRP,SS KComp 48/12ct,SS KComp 6/12ct,8.0,Display pack 48/12CT converted to regular case pack 6/12CT
6320923971,TDL ORG/DR/PKS KCUP DISPLAY 48/12CT,SS KComp 6/12ct,DRP,SS KComp 48/12ct,SS KComp 6/12ct,8.0,Display pack 48/12CT converted to regular case pack 6/12CT
6320925369,TDL GBR/ORG KCUP DISPLAY 48/12CT,SS KComp 6/12ct,DRP,SS KComp 48/12ct,SS KComp 6/12ct,8.0,Display pack 48/12CT converted to regular case pack 6/12CT
6320925372,TDL KCUP GINGERBREAD 6/12 CT,SS KComp 6/12ct,CASE,SS KComp 6/12ct,SS KComp 6/12ct,,Product-level forecast total cases
6320926000,TDL PKS/ORG KCUP DISPLAY 48/12CT,SS KComp 6/12ct,DRP,SS KComp 48/12ct,SS KComp 6/12ct,8.0,Display pack 48/12CT converted to regular case pack 6/12CT
6320926021,TDL PKS/ORG/DEC SS 1/2 DRP 240/12CT,SS KComp 6/12ct,DRP,SS KComp 240/1ea,SS KComp 6/12ct,40.0,Display pack 240/12CT converted to regular case pack 6/12CT
6320926022,TDL GBR/ORG/FVC SS 1/2 DRP 240/12CT,SS KComp 6/12ct,DRP,SS KComp 240/1ea,SS KComp 6/12ct,40.0,Display pack 240/12CT converted to regular case pack 6/12CT
TDSSKC-24/12,SS KCOMP 24/12CT,SS KComp 6/12ct,DRP,SS KComp 24/12ct,SS KComp 6/12ct,4.0,Display pack 24/12CT converted to regular case pack 6/12CT
TDSSKC-48/12,SS KCOMP 48/12CT,SS KComp 6/12ct,DRP,SS KComp 48/12ct,SS KComp 6/12ct,8.0,Display pack 48/12CT converted to regular case pack 6/12CT
TDSSKC-6/12,SS KCOMP 6/12CT,SS KComp 6/12ct,CASE,SS KComp 6/12ct,SS KComp 6/12ct,,Product-level forecast total cases
TDSSKC-6/30,SS KCOMP 6/30CT,SS KComp 6/30ct,CASE,SS KComp 6/30ct,SS KComp 6/30ct,,Product-level forecast total cases
6320916687,TDL KCUP CAPPUCCNO FRNCH VAN SS 4/24 CT,SS KComp Cap 4/24ct,CASE,SS KComp Cap 4/24ct,SS KComp Cap 4/24ct,,Product-level forecast total cases
TDSSKCC-4/24,SS KCOMP CAP 4/24CT,SS KComp Cap 4/24ct,CASE,SS KComp Cap 4/24ct,SS KComp Cap 4/24ct,,Product-level forecast total cases
6320915103,*TDL KCUP DOUBLE DOUBLE SS 6/10 CT,SS KComp DD 6/10ct,CASE,SS KComp DD 6/10ct,SS KComp DD 6/10ct,,Product-level forecast total cases
TDSSKCDD-6/10,SS KCOMP DD 6/10CT,SS KComp DD 6/10ct,CASE,SS KComp DD 6/10ct,SS KComp DD 6/10ct,,Product-level forecast total cases
6320916636,TDL KCUP STEEPED TEA ORANGE PEKOE 1/72CT,SS KComp Tea 1/72ct,CASE,SS KComp Tea 1/72ct,SS KComp Tea 1/72ct,,Product-level forecast total cases
TDSSKCT-1/72,SS KCOMP TEA 1/72CT,SS KComp Tea 1/72ct,CASE,SS KComp Tea 1/72ct,SS KComp Tea 1/72ct,,Product-level forecast total cases
6618809041,*TDL COFFEE TASSIMO DECAF 5/14 CT,SS Tassimo 5/14ct,CASE,SS Tassimo 5/14ct,SS Tassimo 5/14ct,,Product-level forecast total cases
TDSSTA-5/14,SS TASSIMO 5/14CT,SS Tassimo 5/14ct,CASE,SS Tassimo 5/14ct,SS Tassimo 5/14ct,,Product-level forecast total cases
TDSSTA-5/8,SS TASSIMO 5/8CT,SS Tassimo 5/8ct,CASE,SS Tassimo 5/8ct,SS Tassimo 5/8ct,,Product-level forecast total cases
TDSHSP-12/400,SOUPS 12/400ML,Soups 12/400ml,CASE,Soups 12/400ml,Soups 12/400ml,,Product-level forecast total cases
6320912805,TDL CHICKEN NOODLE 12/540 ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
6320913827,TDL CN/COB/CR SOUP 1/2 DRP 192/540 ML,Soups 12/540ml,DRP,Soups 192/540ml,Soups 12/540ml,16.0,Display pack 192/540ML converted to regular case pack 12/540ML
6320915573,*TDL TOMATO PARMESAN 12/540 ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
6320915575,TDL POTATO BACON 12/540 ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
6320916083,*TDL SPICY THAI CHICKEN 12/540 ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
6320917201,TDL BUTTERNUT SQUASH 12/540 ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
6320917474,TDL COB/CN/CR/PB SOUP 1/2 DRP 288/540 ML,Soups 12/540ml,DRP,Soups 288/540ml,Soups 12/540ml,24.0,Display pack 288/540ML converted to regular case pack 12/540ML
6320919180,TDL CREAMY CHICKEN 12/540 ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
6320919183,TDL MINESTRONE 12/540 ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
6320922293,TDL TOMATO BASIL + ORZO 12/540 ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
6320922294,TDL BEEF BARLEY + VEGETABLES 12/540 ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
6320923582,TDL ITALIAN WEDDING 12/540 ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
6320923630,TDL COB/CN/IW SOUP 1/2 DRP 288/540 ML,Soups 12/540ml,DRP,Soups 288/540ml,Soups 12/540ml,24.0,Display pack 288/540ML converted to regular case pack 12/540ML
TDSHSP-12/540,SOUPS 12/540ML,Soups 12/540ml,CASE,Soups 12/540ml,Soups 12/540ml,,Product-level forecast total cases
TDSHSP-192/540,SOUPS 192/540ML,Soups 12/540ml,DRP,Soups 192/540ml,Soups 12/540ml,16.0,Display pack 192/540ML converted to regular case pack 12/540ML
TDSHSP-288/540,SOUPS 288/540ML,Soups 12/540ml,DRP,Soups 288/540ml,Soups 12/540ml,24.0,Display pack 288/540ML converted to regular case pack 12/540ML
TDSHSP-24/284,SOUPS 24/284ML,Soups 24/284ml,CASE,Soups 24/284ml,Soups 24/284ml,,Product-level forecast total cases
TDSHSP-576/284,SOUPS 576/284ML,Soups 24/284ml,DRP,Soups 576/284ml,Soups 24/284ml,24.0,Display pack 576/284ML converted to regular case pack 24/284ML
TDSIC-12/470,SYRUPS 12/470ML,Syrups 12/470ml,CASE,Syrups 12/470ml,Syrups 12/470ml,,Product-level forecast total cases
TDSIC-32/470,SYRUPS 32/470ML,Syrups 12/470ml,DRP,Syrups 32/470ml,Syrups 12/470ml,2.666667,Display pack 32/470ML converted to regular case pack 12/470ML
6320912646,TDL CHAI TEA 6/20 CT,Tea Bag 6/20ct,CASE,Tea Bag 6/20ct,Tea Bag 6/20ct,,Product-level forecast total cases
6320912647,TDL EARL GREY TEA 6/20 CT,Tea Bag 6/20ct,CASE,Tea Bag 6/20ct,Tea Bag 6/20ct,,Product-level forecast total cases
6320912648,TDL GREEN TEA 6/20 CT,Tea Bag 6/20ct,CASE,Tea Bag 6/20ct,Tea Bag 6/20ct,,Product-level forecast total cases
6320912660,TDL PEPPERMINT TEA 6/20 CT,Tea Bag 6/20ct,CASE,Tea Bag 6/20ct,Tea Bag 6/20ct,,Product-level forecast total cases
6320917204,TDL VANILLA BLACK TEA 6/20 CT,Tea Bag 6/20ct,CASE,Tea Bag 6/20ct,Tea Bag 6/20ct,,Product-level forecast total cases
TDTB-6/20,TEA BAG 6/20CT,Tea Bag 6/20ct,CASE,Tea Bag 6/20ct,Tea Bag 6/20ct,,Product-level forecast total cases
TDTB-9/20,TEA BAG 9/20CT,Tea Bag 9/20ct,CASE,Tea Bag 9/20ct,Tea Bag 9/20ct,,Product-level forecast total cases
